login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
cvolzer3,3.532,12.753,5.418,21.703,3.532,0.0,5,10,50.0,4,0.42,17,3.4,18,0,349,75,12,0,0,0,1,1,1049,88.0,11,0,2,1,1,2,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~88.0% (1049 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (1 PRs w/ teammate input after open)",0,0,3,2450,503,2953,71,66,75,~0.42d median time to merge; active WIP + shipping
adboio,6.19,10.956,4.438,21.584,2.19,4.0,4,8,50.0,5,0.45,5,1.25,23,0,86,24,13,4,0,0,0,0,803,91.3,10,0,1,1,1,1,0,merge CI success ~91.3% (803 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,5,4255,281,4536,38,6,22,~0.45d median time to merge; active WIP + shipping; high green rate on merge CI
aaug1-unify,0.796,13.113,7.488,21.397,0.796,0.0,1,2,50.0,0,1.87,8,8.0,13,0,312,0,4,0,0,0,1,1,201,91.0,4,3,1,1,1,1,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~91.0% (201 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,4,0,0,0,0,0,0,~1.87d median time to merge; high iteration (commits/PR); high green rate on merge CI
camerondeleone,1.437,13.926,5.168,20.531,1.437,0.0,1,1,100.0,0,6.12,18,18.0,8,0,490,21,27,0,0,0,1,3,199,92.0,3,0,2,1,1,1,0,"testing in diff (1 PRs, 3 test files) · merge CI success ~92.0% (199 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,27,0,0,0,0,0,0,~6.12d median time to merge; high iteration (commits/PR); high green rate on merge CI
sarahxsanders,4.433,13.434,1.5,19.367,4.433,0.0,4,5,80.0,1,0.34,15,3.75,14,0,591,99,78,0,0,0,1,3,833,87.9,12,0,0,0,0,6,0,"testing in diff (1 PRs, 3 test files) · merge CI success ~87.9% (833 checks sampled)",0,0,39,6,0,6,6,1,2,~0.34d median time to merge; active WIP + shipping
gewenyu99,2.41,10.404,6.436,19.25,2.41,0.0,2,2,100.0,0,5.8,6,3.0,16,0,249,140,19,0,0,0,0,0,414,86.7,6,0,3,1,1,4,0,merge CI success ~86.7% (414 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,11,0,0,0,0,0,0,~5.8d median time to merge
k11kirky,5.72,12.993,0.0,18.713,0.72,5.0,1,1,100.0,0,5.66,1,1.0,4,0,37,12,3,5,0,0,1,1,200,90.0,7,0,0,0,0,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~90.0% (200 checks sampled)",0,0,3,0,0,0,0,0,0,~5.66d median time to merge; high green rate on merge CI
anirudhpillai,1.2,13.293,4.188,18.681,1.2,0.0,2,0,,2,5.55,14,7.0,11,0,70,10,7,0,0,0,1,1,398,92.5,3,0,1,1,1,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~92.5% (398 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,4,2113,1174,3287,40,27,41,~5.55d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
parinporecha,0.324,10.524,7.576,18.424,0.324,0.0,1,1,100.0,1,16.95,2,2.0,9,0,30,2,1,0,0,0,0,0,204,87.7,7,3,0,1,2,1,1,merge CI success ~87.7% (204 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,1,58,0,58,3,1,2,~16.95d median time to merge; active WIP + shipping
SaraMiteva,2.292,11.064,4.918,18.274,2.292,0.0,1,0,,0,12.89,59,59.0,6,0,8422,0,15,0,0,0,0,0,193,92.2,3,0,2,1,1,0,0,merge CI success ~92.2% (193 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,15,0,0,0,0,0,0,~12.89d median time to merge; high iteration (commits/PR); high green rate on merge CI
lucasheriques,4.994,12.967,0.0,17.961,0.994,4.0,1,3,33.3,2,0.55,10,10.0,8,36,358,72,20,4,0,0,1,2,213,86.4,0,0,0,0,0,0,0,"testing in diff (1 PRs, 2 test files) · merge CI success ~86.4% (213 checks sampled)",0,0,20,1789,45,1834,48,7,33,~0.55d median time to merge; high iteration (commits/PR); frequent CI activity; active WIP + shipping
marandaneto,5.818,11.052,0.75,17.62,0.118,5.7,1,1,100.0,0,0.01,1,1.0,3,0,5,4,1,7,0,0,0,0,202,92.1,0,0,0,0,0,3,0,merge CI success ~92.1% (202 checks sampled),0,0,1,0,0,0,0,0,0,~0.01d median time to merge; high green rate on merge CI
beatlevic,0.656,12.465,4.466,17.587,0.656,0.0,1,1,100.0,0,0.96,3,3.0,4,0,133,42,2,0,0,0,1,1,208,85.6,6,1,0,1,1,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~85.6% (208 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,2,0,0,0,0,0,0,~0.96d median time to merge
clr182,1.343,10.944,5.216,17.503,1.343,0.0,4,6,66.7,2,1.41,23,5.75,21,0,108,54,16,0,0,0,0,0,795,91.2,12,1,0,1,1,3,0,merge CI success ~91.2% (795 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,9,85,22,107,8,11,12,~1.41d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
jonathanlab,4.554,12.825,0.0,17.379,0.554,4.0,1,1,100.0,0,2.03,5,5.0,2,0,34,5,2,4,0,0,1,1,202,88.6,3,0,0,0,0,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~88.6% (202 checks sampled)",0,0,2,0,0,0,0,0,0,~2.03d median time to merge; high iteration (commits/PR)
orlandohohmeier,0.242,11.208,5.358,16.808,0.242,0.0,1,1,100.0,0,0.36,2,2.0,4,0,2,2,1,0,0,0,0,0,196,93.4,3,2,0,1,1,0,0,merge CI success ~93.4% (196 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,1,0,0,0,0,0,0,~0.36d median time to merge; high green rate on merge CI
seangeiger,0.642,15.751,0.2,16.593,0.642,0.0,1,1,100.0,0,1.08,2,2.0,2,0,88,3,2,0,1,1,1,1,197,93.4,0,0,0,0,0,0,1,"issue closure (1 PRs w/ close keywords) · testing in diff (1 PRs, 1 test files) · merge CI success ~93.4% (197 checks sampled)",0,0,2,0,0,0,0,0,0,~1.08d median time to merge; high green rate on merge CI
mvanhorn,0.771,15.691,0.0,16.462,0.771,0.0,1,3,33.3,1,2.48,2,2.0,3,0,39,2,3,0,1,1,1,1,198,92.9,0,0,0,0,0,0,0,"issue closure (1 PRs w/ close keywords) · testing in diff (1 PRs, 1 test files) · merge CI success ~92.9% (198 checks sampled)",0,0,3,30,2,32,3,2,5,~2.48d median time to merge; active WIP + shipping; high green rate on merge CI
phillram,0.383,11.04,4.466,15.889,0.383,0.0,1,1,100.0,0,2.71,1,1.0,2,0,2,2,2,0,0,0,0,0,201,92.0,0,1,0,1,1,0,0,merge CI success ~92.0% (201 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,2,0,0,0,0,0,0,~2.71d median time to merge; high green rate on merge CI
annaszell,0.235,11.148,4.188,15.571,0.235,0.0,1,1,100.0,0,0.09,10,10.0,4,0,3,0,1,0,0,0,0,0,198,92.9,3,0,1,1,1,0,0,merge CI success ~92.9% (198 checks sampled) · collaboration (1 PRs w/ teammate input after open),0,0,1,0,0,0,0,0,0,~0.09d median time to merge; high iteration (commits/PR); high green rate on merge CI
vmaineng,0.9,13.138,0.2,14.238,0.2,0.7,1,2,50.0,1,0.59,1,1.0,1,0,1,1,1,2,1,1,0,0,207,89.9,2,0,0,0,0,0,1,issue closure (1 PRs w/ close keywords) · merge CI success ~89.9% (207 checks sampled),0,0,1,108,15,123,16,14,5,~0.59d median time to merge; active WIP + shipping
darkopia,1.292,12.921,0.0,14.213,1.292,0.0,3,5,60.0,5,6.25,9,3.0,16,0,107,3,16,0,0,0,1,1,604,89.4,11,0,0,0,0,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~89.4% (604 checks sampled)",0,0,13,503,199,702,22,32,36,~6.25d median time to merge; active WIP + shipping
sipa-echo-zaoa,0.214,12.91,0.5,13.624,0.214,0.0,1,1,100.0,0,2.24,5,5.0,1,0,2,1,1,0,1,1,0,0,200,88.0,4,0,0,0,0,2,0,issue closure (1 PRs w/ close keywords) · merge CI success ~88.0% (200 checks sampled),0,0,1,0,0,0,0,0,0,~2.24d median time to merge; high iteration (commits/PR)
edwinyjlim,0.73,10.668,0.75,12.148,0.73,0.0,1,1,100.0,0,11.61,16,16.0,11,0,328,12,2,0,0,0,0,0,190,88.9,3,0,0,0,0,3,0,merge CI success ~88.9% (190 checks sampled),0,0,2,0,0,0,0,0,0,~11.61d median time to merge; high iteration (commits/PR)
danielxnj,0.253,11.208,0.0,11.461,0.253,0.0,1,2,50.0,0,0.03,1,1.0,1,0,3,1,1,0,0,0,0,0,196,93.4,1,0,0,0,0,0,0,merge CI success ~93.4% (196 checks sampled),0,0,1,0,0,0,0,0,0,~0.03d median time to merge; high green rate on merge CI
dschofie,0.242,11.208,0.0,11.45,0.242,0.0,1,1,100.0,0,7.7,2,2.0,1,0,2,2,1,0,0,0,0,0,198,93.4,0,0,0,0,0,0,0,merge CI success ~93.4% (198 checks sampled),0,0,1,0,0,0,0,0,0,~7.7d median time to merge; high green rate on merge CI
kyleswank,0.267,11.16,0.0,11.427,0.267,0.0,1,1,100.0,0,2.99,2,2.0,2,0,5,0,1,0,0,0,0,0,199,93.0,0,0,0,0,0,0,0,merge CI success ~93.0% (199 checks sampled),0,0,1,0,0,0,0,0,0,~2.99d median time to merge; high green rate on merge CI
joethreepwood,0.242,11.16,0.0,11.402,0.242,0.0,1,1,100.0,0,0.17,4,4.0,2,0,2,2,1,0,0,0,0,0,199,93.0,0,0,0,0,0,0,0,merge CI success ~93.0% (199 checks sampled),0,0,1,0,0,0,0,0,0,~0.17d median time to merge; high iteration (commits/PR); high green rate on merge CI
abheek9,6.0,0.0,0.0,6.0,0.0,6.0,0,0,,0,,0,,0,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
kappa90,5.35,0.0,0.0,5.35,0.0,5.35,0,3,0.0,0,,0,,0,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
jghoman,3.0,0.0,0.0,3.0,0.0,3.0,0,0,,0,,0,,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
benben,2.0,0.0,0.0,2.0,0.0,2.0,0,0,,0,,0,,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
bill-ph,1.7,0.0,0.0,1.7,0.0,1.7,0,0,,0,,0,,0,35,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,frequent CI activity
ioannisj,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0.0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
willwearing,1.0,0.0,0.0,1.0,0.0,1.0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
MichaelKutsch-ph,1.0,0.0,0.0,1.0,0.0,1.0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
leonposthog,1.0,0.0,0.0,1.0,0.0,1.0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
langesven,1.0,0.0,0.0,1.0,0.0,1.0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
kurekszymon,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,31,5,36,1,2,4,—
HarshadaGawas05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,189,39,228,2,5,6,—
charlescook-ph,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,47,13,60,9,3,5,—
NewSmoke38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,864,33,897,31,6,29,—
thiagohcaserta,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,117,3,120,2,3,3,—
Krishnachaitanyakc,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,6,1,7,1,2,3,—
learkonas,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,15,2,17,2,1,5,—
odin-posthog,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,3161,96,3257,43,89,73,—
C-NASIR,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,510,20,530,8,2,3,—
Basit-Balogun10,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,2381,1083,3464,7,16,24,—
jericopingul,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,2,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,561,23,584,11,8,17,—
annikaschmid,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,771,15,786,16,1,12,—
naji247,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,337,124,461,7,5,23,—
mircoboettcher,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,478,10,488,10,5,2,—
singhularity,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,212,230,442,114,4,8,—
pedrodlp,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,286,4,290,7,3,6,—
jasontlouro,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,279,0,279,4,10,10,—
tysoncung,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,2,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,24,9,33,3,2,5,—
SafinMahmud,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,98,8,106,3,5,9,—
harryautomazione,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,100,4,104,2,10,4,—
tahatkn,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,9,3,12,1,3,3,—
Sahilarora83,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,35,6,41,6,2,4,—
janpio,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,7,1,8,1,2,5,—
JasonLovesDoggo,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,21,1,22,3,5,13,—
sbrin,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,916,6,922,9,19,13,—
okxint,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,5,3,8,1,2,9,—
bens27,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
mango766,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
JiwaniZakir,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
tejasae-afk,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
jaencarrodine,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
tupe12334,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
the-artifabrian,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
xr843,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,—,0,0,0,0,0,0,0,0,0,—
