login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
oliverb123,18.308,19.069,17.686,55.063,10.608,7.7,12,11,109.1,0,0.9,61,5.08,128,0,1921,235,70,9,0,0,4,8,2575,90.6,37,1,22,5,5,2,0,"testing in diff (4 PRs, 8 test files) · merge CI success ~90.6% (2575 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,23,0,0,0,0,0,0,~0.9d median time to merge; high iteration (commits/PR); tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
tomasfarias,20.331,21.14,12.968,54.439,7.831,12.5,10,13,76.9,3,0.06,81,8.1,76,0,1791,177,59,19,0,0,5,14,2021,91.1,13,1,12,3,2,3,0,"testing in diff (5 PRs, 14 test files) · merge CI success ~91.1% (2021 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open)",0,0,31,98,44,142,27,12,16,~0.06d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
fasyy612,24.701,15.222,14.026,53.949,5.601,19.1,8,12,66.7,3,1.09,38,4.75,52,0,611,143,33,23,0,0,2,3,1629,90.3,13,2,2,3,3,11,0,"testing in diff (2 PRs, 3 test files) · merge CI success ~90.3% (1629 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open)",0,0,12,681,97,778,18,17,13,~1.09d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
gesh,23.664,18.784,11.104,53.552,9.914,13.75,16,17,94.1,2,0.83,100,6.25,76,0,2177,1465,60,17,0,0,4,5,3200,91.6,29,1,6,3,2,0,0,"testing in diff (4 PRs, 5 test files) · merge CI success ~91.6% (3200 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open)",0,0,17,199,6,205,7,11,11,~0.83d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
Radu-Raicea,16.088,19.807,17.554,53.449,10.388,5.7,5,2,250.0,0,5.99,55,11.0,84,0,12750,593,110,7,0,0,4,21,1020,89.3,19,2,28,5,2,0,5,"testing in diff (4 PRs, 21 test files) · merge CI success ~89.3% (1020 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open)",0,0,41,0,0,0,0,0,0,~5.99d median time to merge; high iteration (commits/PR); tests/e2e in shipped diffs; pulls others in after open
aspicer,14.634,19.055,19.106,52.795,12.284,2.35,9,10,90.0,3,2.27,173,19.22,72,0,5049,666,89,3,0,0,4,9,1888,89.6,20,2,15,6,6,1,0,"testing in diff (4 PRs, 9 test files) · merge CI success ~89.6% (1888 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",0,0,37,2137,422,2559,61,31,34,~2.27d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
estefaniarabadan,18.453,21.83,10.819,51.102,11.353,7.1,19,19,100.0,1,0.07,45,2.37,59,0,973,193,52,11,0,0,6,6,3813,90.7,66,0,7,4,2,0,0,"testing in diff (6 PRs, 6 test files) · merge CI success ~90.7% (3813 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,12,832,66,898,6,3,3,~0.07d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
ksvat,16.085,15.03,15.851,46.966,6.735,9.35,6,8,75.0,2,4.54,24,4.0,109,201,1866,182,90,10,0,0,2,3,1247,88.7,10,1,13,5,2,6,0,"testing in diff (2 PRs, 3 test files) · merge CI success ~88.7% (1247 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open)",0,0,29,274,12,286,15,4,11,~4.54d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
benjackwhite,19.359,18.947,6.054,44.36,8.359,11.0,7,7,100.0,2,0.07,36,5.14,23,0,688,6531,74,11,0,0,4,9,1475,88.7,30,0,2,1,2,0,0,"testing in diff (4 PRs, 9 test files) · merge CI success ~88.7% (1475 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (1 PRs w/ teammate input after open)",0,0,43,5185,33,5218,60,20,17,~0.07d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs
jabahamondes,18.05,15.258,9.748,43.056,11.7,6.35,12,18,66.7,6,2.23,55,4.58,50,0,2347,704,75,7,0,0,2,3,2375,90.6,44,1,4,2,2,1,0,"testing in diff (2 PRs, 3 test files) · merge CI success ~90.6% (2375 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,22,5644,316,5960,63,49,42,~2.23d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
nicowaltz,14.074,13.867,15.09,43.031,9.724,4.35,5,4,125.0,0,0.95,95,19.0,48,0,8581,6915,88,5,0,0,2,2,1008,81.4,71,4,11,4,2,0,0,"testing in diff (2 PRs, 2 test files) · merge CI success ~81.4% (1008 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,45,0,0,0,0,0,0,~0.95d median time to merge; high iteration (commits/PR); tests/e2e in shipped diffs; pulls others in after open
raquelmsmith,8.143,19.187,14.878,42.208,7.143,1.0,4,6,66.7,2,2.25,77,19.25,52,0,3342,258,87,1,0,0,4,9,807,90.7,18,2,8,4,4,0,0,"testing in diff (4 PRs, 9 test files) · merge CI success ~90.7% (807 checks sampled) · collaboration (4 PRs w/ teammate input after open)",0,0,48,875,146,1021,53,16,23,~2.25d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
cat-ph,16.64,16.381,9.071,42.092,4.29,12.35,7,9,77.8,2,0.24,12,1.71,25,0,423,123,20,13,0,0,3,4,1408,85.6,53,0,3,2,2,6,0,"testing in diff (3 PRs, 4 test files) · merge CI success ~85.6% (1408 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,5,73,13,86,22,6,10,~0.24d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs
orian,17.23,20.079,4.466,41.775,9.43,7.8,8,9,88.9,0,0.72,54,6.75,50,0,1832,441,81,13,0,0,5,7,1582,87.5,18,1,0,1,1,0,0,"testing in diff (5 PRs, 7 test files) · merge CI success ~87.5% (1582 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (1 PRs w/ teammate input after open)",0,0,49,0,0,0,0,0,0,~0.72d median time to merge; high iteration (commits/PR); strong review throughput; tests/e2e in shipped diffs
richardsolomou,12.064,18.025,10.573,40.662,5.064,7.0,4,7,57.1,3,0.59,24,6.0,17,0,1917,656,50,7,0,0,3,11,829,92.0,15,5,0,2,3,3,0,"testing in diff (3 PRs, 11 test files) · merge CI success ~92.0% (829 checks sampled) · collaboration (2 PRs w/ teammate input after open)",0,0,23,1627,117,1744,35,26,24,~0.59d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
